date,DOTUSD,DOGEUSD,SOLUSD,ETHUSD,LTCUSD,ADAUSD,BTCUSD,XRPUSD
2018-05-15 06:00:00,,,,733.0,147.2,,8740.99,0.7419
2018-05-15 07:00:00,,,,733.82,147.5,,8739.0,0.7406
2018-05-15 08:00:00,,,,731.68,145.64,,8728.49,0.736
2018-05-15 09:00:00,,,,727.32,145.54,,8708.32,0.733
2018-05-15 10:00:00,,,,733.59,147.66,,8795.9,0.7409
2018-05-15 11:00:00,,,,730.24,146.39,,8760.0,0.7371
2018-05-15 12:00:00,,,,733.8,145.72,,8760.0,0.7371
2018-05-15 13:00:00,,,,728.96,144.8,,8759.23,0.7324
2018-05-15 14:00:00,,,,711.86,139.9,,8517.77,0.7115
2018-05-15 15:00:00,,,,720.64,140.99,,8520.3,0.7107
2018-05-15 16:00:00,,,,723.75,140.78,,8535.23,0.7133
2018-05-15 17:00:00,,,,717.18,140.95,,8546.34,0.7099
2018-05-15 18:00:00,,,,712.39,140.54,,8526.65,0.6991
2018-05-15 19:00:00,,,,713.0,141.19,,8555.6,0.6952
2018-05-15 20:00:00,,,,712.48,140.78,,8512.1,0.7001
2018-05-15 21:00:00,,,,707.84,139.96,,8492.28,0.6924
2018-05-15 22:00:00,,,,700.99,138.64,,8460.0,0.687
2018-05-15 23:00:00,,,,707.38,139.78,,8474.99,0.6911
2018-05-16 00:00:00,,,,701.99,139.65,,8455.92,0.6868
2018-05-16 01:00:00,,,,692.87,136.99,,8326.28,0.677
2018-05-16 02:00:00,,,,681.36,135.28,,8133.43,0.664
2018-05-16 03:00:00,,,,679.76,136.24,,8164.79,0.6713
2018-05-16 04:00:00,,,,685.99,136.91,,8229.38,0.6801
2018-05-16 05:00:00,,,,684.28,135.96,,8220.4,0.675
2018-05-16 06:00:00,,,,686.67,137.1,,8238.8,0.6815
2018-05-16 07:00:00,,,,691.57,136.44,,8232.99,0.683
2018-05-16 08:00:00,,,,687.88,136.44,,8207.48,0.6755
2018-05-16 09:00:00,,,,692.3,137.27,,8243.45,0.6811
2018-05-16 10:00:00,,,,702.61,139.54,,8371.13,0.6902
