date,DOTUSD,DOGEUSD,SOLUSD,ETHUSD,LTCUSD,ADAUSD,BTCUSD,XRPUSD
2018-05-15 06:00:00,,,,736.67,148.7,,8796.68,0.748
2018-05-15 07:00:00,,,,735.99,148.02,,8766.0,0.746
2018-05-15 08:00:00,,,,734.92,147.5,,8750.27,0.7407
2018-05-15 09:00:00,,,,731.82,146.62,,8754.4,0.7375
2018-05-15 10:00:00,,,,739.37,149.14,,8865.0,0.7485
2018-05-15 11:00:00,,,,737.14,148.4,,8821.19,0.7441
2018-05-15 12:00:00,,,,734.74,146.64,,8798.6,0.7394
2018-05-15 13:00:00,,,,734.16,145.72,,8771.02,0.7371
2018-05-15 14:00:00,,,,729.42,144.8,,8761.7,0.7327
2018-05-15 15:00:00,,,,722.34,141.44,,8553.67,0.7181
2018-05-15 16:00:00,,,,732.0,141.96,,8589.1,0.7196
2018-05-15 17:00:00,,,,731.0,141.39,,8579.48,0.7164
2018-05-15 18:00:00,,,,717.2,140.95,,8555.51,0.7119
2018-05-15 19:00:00,,,,715.69,141.24,,8583.6,0.7001
2018-05-15 20:00:00,,,,714.99,141.19,,8569.92,0.7041
2018-05-15 21:00:00,,,,714.44,140.78,,8555.54,0.7033
2018-05-15 22:00:00,,,,711.29,140.87,,8557.51,0.7009
2018-05-15 23:00:00,,,,710.15,139.94,,8505.0,0.6971
2018-05-16 00:00:00,,,,710.09,140.19,,8505.33,0.6975
2018-05-16 01:00:00,,,,701.99,139.65,,8478.29,0.6889
2018-05-16 02:00:00,,,,692.99,137.0,,8339.81,0.6782
2018-05-16 03:00:00,,,,692.14,136.99,,8217.44,0.6776
2018-05-16 04:00:00,,,,690.99,137.37,,8252.72,0.685
2018-05-16 05:00:00,,,,686.6,136.91,,8248.63,0.6814
2018-05-16 06:00:00,,,,688.78,137.1,,8267.12,0.6829
2018-05-16 07:00:00,,,,694.43,137.1,,8255.0,0.6877
2018-05-16 08:00:00,,,,691.57,137.03,,8261.24,0.683
2018-05-16 09:00:00,,,,693.65,137.98,,8263.93,0.6828
2018-05-16 10:00:00,,,,708.62,140.03,,8455.66,0.6965
2018-05-16 11:00:00,,,,712.0,141.32,,8439.44,0.7014
2018-05-16 12:00:00,,,,709.87,140.21,,8399.1,0.6972
2018-05-16 13:00:00,,,,705.29,139.52,,8381.73,0.6945
2018-05-16 14:00:00,,,,694.51,137.29,,8229.91,0.6809
2018-05-16 15:00:00,,,,702.08,138.64,,8377.29,0.6909
2018-05-16 16:00:00,,,,703.0,138.36,,8329.1,0.687
2018-05-16 17:00:00,,,,699.0,138.7,,8350.0,0.6861
2018-05-16 18:00:00,,,,702.84,138.64,,8346.95,0.6863
2018-05-16 19:00:00,,,,703.99,138.91,,8377.29,0.6896
2018-05-16 20:00:00,,,,697.8,138.46,,8311.35,0.6821
2018-05-16 21:00:00,,,,695.7,138.41,,8319.96,0.6873
2018-05-16 22:00:00,,,,704.49,138.49,,8398.24,0.7002
2018-05-16 23:00:00,,,,708.46,139.75,,8372.58,0.7128
2018-05-17 00:00:00,,,,714.99,140.96,,8399.99,0.71
2018-05-17 01:00:00,,,,715.0,140.35,,8386.53,0.7065
2018-05-17 02:00:00,,,,715.77,141.36,,8400.0,0.7102
2018-05-17 03:00:00,,,,718.9,141.49,,8500.0,0.7136
2018-05-17 04:00:00,,,,713.0,139.91,,8381.0,0.7054
2018-05-17 05:00:00,,,,712.31,139.47,,8371.3,0.7042
2018-05-17 06:00:00,,,,712.15,139.72,,8382.41,0.7043
2018-05-17 07:00:00,,,,707.88,139.34,,8351.0,0.702
2018-05-17 08:00:00,,,,701.29,137.96,,8292.99,0.6941
2018-05-17 09:00:00,,,,703.08,138.53,,8325.8,0.6961
2018-05-17 10:00:00,,,,702.6,138.27,,8318.99,0.6942
2018-05-17 11:00:00,,,,701.34,138.71,,8324.9,0.6941
2018-05-17 12:00:00,,,,704.49,138.79,,8335.56,0.6945
2018-05-17 13:00:00,,,,701.36,138.49,,8309.4,0.6933
2018-05-17 14:00:00,,,,706.52,139.88,,8377.29,0.7
2018-05-17 15:00:00,,,,708.0,140.12,,8330.41,0.6969
2018-05-17 16:00:00,,,,707.0,139.2,,8328.23,0.6934
2018-05-17 17:00:00,,,,699.26,137.8,,8284.36,0.684
2018-05-17 18:00:00,,,,691.83,136.92,,8274.83,0.6789
2018-05-17 19:00:00,,,,685.0,134.7,,8200.0,0.6755
2018-05-17 20:00:00,,,,689.8,135.35,,8232.14,0.6788
2018-05-17 21:00:00,,,,687.0,134.89,,8213.97,0.6709
2018-05-17 22:00:00,,,,678.96,134.01,,8155.41,0.668
2018-05-17 23:00:00,,,,674.96,133.37,,8108.28,0.664
2018-05-18 00:00:00,,,,669.04,132.5,,8068.92,0.6585
2018-05-18 01:00:00,,,,671.13,130.98,,8019.9,0.6633
2018-05-18 02:00:00,,,,672.54,131.02,,8026.66,0.6637
2018-05-18 03:00:00,,,,674.52,131.85,,8025.0,0.6656
2018-05-18 04:00:00,,,,679.99,133.0,,8104.69,0.6675
2018-05-18 05:00:00,,,,678.69,132.4,,8061.39,0.6679
2018-05-18 06:00:00,,,,675.02,132.08,,8045.99,0.6644
2018-05-18 07:00:00,,,,680.99,133.0,,8170.71,0.676
2018-05-18 08:00:00,,,,682.0,133.19,,8144.16,0.6734
2018-05-18 09:00:00,,,,682.27,132.99,,8139.99,0.6734
2018-05-18 10:00:00,,,,684.0,133.66,,8152.99,0.6725
2018-05-18 11:00:00,,,,683.99,133.48,,8137.73,0.672
2018-05-18 12:00:00,,,,683.31,132.99,,8143.72,0.6716
2018-05-18 13:00:00,,,,681.54,132.91,,8129.99,0.6693
2018-05-18 14:00:00,,,,676.69,131.75,,8106.76,0.6644
2018-05-18 15:00:00,,,,680.0,133.19,,8139.0,0.665
2018-05-18 16:00:00,,,,680.54,133.39,,8152.04,0.668
2018-05-18 17:00:00,,,,682.11,133.39,,8146.99,0.672
2018-05-18 18:00:00,,,,687.99,135.0,,8232.14,0.6725
2018-05-18 19:00:00,,,,691.34,137.63,,8275.1,0.68
2018-05-18 20:00:00,,,,691.25,137.78,,8256.12,0.6837
2018-05-18 21:00:00,,,,690.76,137.32,,8274.1,0.6835
2018-05-18 22:00:00,,,,691.98,136.38,,8255.8,0.6816
2018-05-18 23:00:00,,,,694.96,136.23,,8253.97,0.6789
2018-05-19 00:00:00,,,,696.0,136.73,,8261.09,0.6785
2018-05-19 01:00:00,,,,690.33,135.49,,8235.76,0.674
2018-05-19 02:00:00,,,,690.0,135.27,,8227.0,0.6743
2018-05-19 03:00:00,,,,696.25,136.7,,8273.36,0.6776
2018-05-19 04:00:00,,,,696.43,136.64,,8264.21,0.6772
2018-05-19 05:00:00,,,,691.89,135.8,,8250.0,0.6745
2018-05-19 06:00:00,,,,693.5,135.72,,8250.86,0.675
2018-05-19 07:00:00,,,,689.48,135.28,,8235.77,0.6717
2018-05-19 08:00:00,,,,690.99,134.37,,8232.12,0.668
2018-05-19 09:00:00,,,,692.16,134.37,,8232.14,0.668
2018-05-19 10:00:00,,,,696.46,135.26,,8252.72,0.6725
2018-05-19 11:00:00,,,,710.0,136.99,,8370.0,0.6788
2018-05-19 12:00:00,,,,711.41,137.82,,8395.0,0.6877
2018-05-19 13:00:00,,,,716.93,137.86,,8374.48,0.6914
2018-05-19 14:00:00,,,,708.13,136.9,,8331.0,0.6831
2018-05-19 15:00:00,,,,708.93,136.46,,8319.43,0.6813
2018-05-19 16:00:00,,,,707.73,136.89,,8323.4,0.6819
2018-05-19 17:00:00,,,,704.17,136.42,,8314.55,0.6771
2018-05-19 18:00:00,,,,704.71,135.99,,8330.62,0.6788
2018-05-19 19:00:00,,,,704.99,135.9,,8314.8,0.6773
2018-05-19 20:00:00,,,,704.16,135.99,,8323.99,0.6773
2018-05-19 21:00:00,,,,699.53,135.21,,8263.03,0.6733
2018-05-19 22:00:00,,,,696.02,135.11,,8247.78,0.6749
2018-05-19 23:00:00,,,,698.44,135.34,,8253.75,0.6761
2018-05-20 00:00:00,,,,696.99,135.3,,8237.89,0.6772
2018-05-20 01:00:00,,,,696.83,134.12,,8235.0,0.6761
2018-05-20 02:00:00,,,,707.15,135.34,,8279.99,0.685
2018-05-20 03:00:00,,,,708.66,135.67,,8290.0,0.684
2018-05-20 04:00:00,,,,710.0,135.28,,8278.71,0.6815
2018-05-20 05:00:00,,,,706.39,135.26,,8275.34,0.684
2018-05-20 06:00:00,,,,706.25,135.99,,8279.31,0.6827
2018-05-20 07:00:00,,,,709.85,135.91,,8279.98,0.68
2018-05-20 08:00:00,,,,711.8,136.06,,8294.04,0.683
2018-05-20 09:00:00,,,,713.33,138.01,,8356.4,0.6875
2018-05-20 10:00:00,,,,716.9,138.42,,8374.94,0.69
2018-05-20 11:00:00,,,,714.62,137.79,,8354.83,0.6855
2018-05-20 12:00:00,,,,714.99,137.07,,8360.45,0.6866
2018-05-20 13:00:00,,,,710.86,136.99,,8337.14,0.6833
2018-05-20 14:00:00,,,,711.86,137.28,,8351.97,0.6874
2018-05-20 15:00:00,,,,713.99,137.91,,8377.29,0.6895
2018-05-20 16:00:00,,,,721.57,139.63,,8549.0,0.699
2018-05-20 17:00:00,,,,721.8,140.87,,8531.9,0.702
2018-05-20 18:00:00,,,,723.16,140.35,,8551.79,0.705
2018-05-20 19:00:00,,,,723.16,139.81,,8529.9,0.7005
2018-05-20 20:00:00,,,,722.0,140.43,,8590.0,0.7066
2018-05-20 21:00:00,,,,720.93,140.17,,8576.1,0.706
2018-05-20 22:00:00,,,,719.97,140.3,,8549.89,0.703
2018-05-20 23:00:00,,,,716.0,140.22,,8531.89,0.7
2018-05-21 00:00:00,,,,718.12,139.99,,8550.0,0.7
2018-05-21 01:00:00,,,,712.99,139.23,,8493.29,0.6955
2018-05-21 02:00:00,,,,713.0,139.13,,8522.98,0.6972
2018-05-21 03:00:00,,,,714.0,139.44,,8517.0,0.6971
2018-05-21 04:00:00,,,,714.9,138.99,,8537.29,0.7012
2018-05-21 05:00:00,,,,714.0,139.88,,8524.51,0.7001
2018-05-21 06:00:00,,,,719.12,139.19,,8589.1,0.7007
2018-05-21 07:00:00,,,,720.0,139.36,,8589.07,0.7008
2018-05-21 08:00:00,,,,717.08,138.58,,8536.92,0.7015
2018-05-21 09:00:00,,,,717.02,138.34,,8524.03,0.6978
2018-05-21 10:00:00,,,,711.99,137.16,,8497.8,0.6922
2018-05-21 11:00:00,,,,710.0,136.69,,8498.0,0.688
2018-05-21 12:00:00,,,,709.93,136.61,,8513.5,0.6889
2018-05-21 13:00:00,,,,707.73,136.97,,8510.0,0.6882
2018-05-21 14:00:00,,,,706.98,136.4,,8494.7,0.6869
