date,DOTUSD,DOGEUSD,SOLUSD,ETHUSD,LTCUSD,ADAUSD,BTCUSD,XRPUSD
2018-05-15 06:00:00,,,,730.94,147.01,,8707.28,0.7407
2018-05-15 07:00:00,,,,730.45,146.8,,8721.11,0.739
2018-05-15 08:00:00,,,,721.58,144.54,,8660.53,0.73
2018-05-15 09:00:00,,,,726.98,145.15,,8701.35,0.733
2018-05-15 10:00:00,,,,725.04,144.95,,8695.11,0.73
2018-05-15 11:00:00,,,,728.53,145.91,,8740.54,0.7365
2018-05-15 12:00:00,,,,729.57,145.0,,8741.52,0.7358
2018-05-15 13:00:00,,,,726.08,144.25,,8700.0,0.7291
2018-05-15 14:00:00,,,,708.87,139.44,,8467.42,0.7066
2018-05-15 15:00:00,,,,708.32,138.88,,8477.89,0.706
2018-05-15 16:00:00,,,,716.88,140.51,,8500.78,0.71
2018-05-15 17:00:00,,,,713.82,140.0,,8500.0,0.7077
2018-05-15 18:00:00,,,,707.83,138.8,,8400.0,0.6963
2018-05-15 19:00:00,,,,707.28,139.2,,8451.05,0.6903
2018-05-15 20:00:00,,,,709.41,140.0,,8461.38,0.692
2018-05-15 21:00:00,,,,707.39,139.96,,8481.24,0.6924
2018-05-15 22:00:00,,,,695.74,137.89,,8420.37,0.68
2018-05-15 23:00:00,,,,699.05,138.64,,8450.0,0.6857
2018-05-16 00:00:00,,,,698.35,139.02,,8430.94,0.6843
2018-05-16 01:00:00,,,,690.04,135.96,,8275.02,0.6714
2018-05-16 02:00:00,,,,675.51,134.8,,8100.01,0.6601
2018-05-16 03:00:00,,,,679.08,135.2,,8122.56,0.6627
2018-05-16 04:00:00,,,,679.75,136.06,,8157.01,0.6713
2018-05-16 05:00:00,,,,680.2,135.13,,8166.25,0.672
2018-05-16 06:00:00,,,,682.65,135.79,,8176.91,0.675
2018-05-16 07:00:00,,,,685.79,136.17,,8213.79,0.6796
2018-05-16 08:00:00,,,,682.76,136.0,,8200.0,0.675
2018-05-16 09:00:00,,,,684.38,136.3,,8207.48,0.675
2018-05-16 10:00:00,,,,692.3,137.27,,8237.1,0.6801
2018-05-16 11:00:00,,,,701.45,139.2,,8370.0,0.6881
2018-05-16 12:00:00,,,,702.26,139.1,,8356.4,0.6901
2018-05-16 13:00:00,,,,674.57,135.64,,8145.1,0.6707
2018-05-16 14:00:00,,,,683.66,136.17,,8173.6,0.6729
2018-05-16 15:00:00,,,,691.68,136.8,,8211.8,0.6777
2018-05-16 16:00:00,,,,689.41,136.79,,8201.0,0.6726
2018-05-16 17:00:00,,,,692.64,137.13,,8250.9,0.6758
2018-05-16 18:00:00,,,,693.42,137.5,,8266.46,0.6779
2018-05-16 19:00:00,,,,695.5,137.68,,8252.72,0.6802
2018-05-16 20:00:00,,,,692.92,137.42,,8232.14,0.678
2018-05-16 21:00:00,,,,691.83,137.6,,8268.37,0.68
2018-05-16 22:00:00,,,,693.6,137.44,,8277.25,0.6855
2018-05-16 23:00:00,,,,700.31,138.31,,8277.25,0.6916
2018-05-17 00:00:00,,,,706.56,139.31,,8314.78,0.6976
2018-05-17 01:00:00,,,,705.33,138.9,,8314.77,0.6981
2018-05-17 02:00:00,,,,710.46,140.1,,8350.07,0.7021
2018-05-17 03:00:00,,,,707.11,139.33,,8331.39,0.6962
2018-05-17 04:00:00,,,,708.3,138.56,,8314.77,0.6951
2018-05-17 05:00:00,,,,706.3,138.15,,8275.45,0.693
2018-05-17 06:00:00,,,,706.45,138.46,,8335.49,0.6959
2018-05-17 07:00:00,,,,695.01,136.72,,8191.14,0.6873
2018-05-17 08:00:00,,,,695.51,136.72,,8227.7,0.6875
2018-05-17 09:00:00,,,,697.43,136.98,,8264.13,0.6873
2018-05-17 10:00:00,,,,695.07,137.26,,8249.93,0.686
2018-05-17 11:00:00,,,,697.63,137.73,,8269.52,0.6872
2018-05-17 12:00:00,,,,694.91,137.74,,8219.44,0.6871
2018-05-17 13:00:00,,,,696.0,137.61,,8262.68,0.685
2018-05-17 14:00:00,,,,700.99,138.3,,8286.65,0.6925
2018-05-17 15:00:00,,,,703.75,138.9,,8289.87,0.6925
2018-05-17 16:00:00,,,,691.48,136.76,,8232.14,0.679
2018-05-17 17:00:00,,,,687.04,136.5,,8232.14,0.6731
2018-05-17 18:00:00,,,,677.98,134.5,,8110.02,0.6705
2018-05-17 19:00:00,,,,679.14,133.52,,8154.95,0.6705
2018-05-17 20:00:00,,,,683.01,134.32,,8168.6,0.67
2018-05-17 21:00:00,,,,677.33,133.98,,8151.0,0.664
2018-05-17 22:00:00,,,,660.65,131.26,,7980.0,0.651
2018-05-17 23:00:00,,,,663.76,131.61,,8005.95,0.6518
2018-05-18 00:00:00,,,,656.36,129.0,,7929.53,0.6471
2018-05-18 01:00:00,,,,657.62,129.24,,7931.03,0.6502
2018-05-18 02:00:00,,,,663.7,129.85,,7950.0,0.6518
2018-05-18 03:00:00,,,,669.16,130.7,,7980.58,0.6584
