date,ADAUSD,XRPUSD,SOLUSD,BTCUSD,LTCUSD,ETHUSD,DOTUSD,DOGEUSD
2014-11-28 00:00:00,,,,376.28,,,,
2014-11-29 00:00:00,,,,376.72,,,,
2014-11-30 00:00:00,,,,373.34,,,,
2014-12-01 00:00:00,,,,378.39,,,,
2014-12-02 00:00:00,,,,379.25,,,,
2014-12-03 00:00:00,,,,376.67,,,,
2014-12-04 00:00:00,,,,365.2,,,,
2014-12-05 00:00:00,,,,374.95,,,,
2014-12-06 00:00:00,,,,375.07,,,,
2014-12-07 00:00:00,,,,376.87,,,,
2014-12-08 00:00:00,,,,364.61,,,,
2014-12-09 00:00:00,,,,350.49,,,,
2014-12-10 00:00:00,,,,348.13,,,,
2014-12-11 00:00:00,,,,348.98,,,,
2014-12-12 00:00:00,,,,354.48,,,,
2014-12-13 00:00:00,,,,351.45,,,,
2014-12-14 00:00:00,,,,350.17,,,,
2014-12-15 00:00:00,,,,350.17,,,,
2014-12-16 00:00:00,,,,330.02,,,,
2014-12-17 00:00:00,,,,321.1,,,,
2014-12-18 00:00:00,,,,312.17,,,,
2014-12-19 00:00:00,,,,318.0,,,,
2014-12-20 00:00:00,,,,329.99,,,,
2014-12-21 00:00:00,,,,323.15,,,,
2014-12-22 00:00:00,,,,330.52,,,,
2014-12-23 00:00:00,,,,335.49,,,,
2014-12-24 00:00:00,,,,322.14,,,,
2014-12-25 00:00:00,,,,319.39,,,,
2014-12-26 00:00:00,,,,330.88,,,,
2014-12-27 00:00:00,,,,315.89,,,,
2014-12-28 00:00:00,,,,316.63,,,,
2014-12-29 00:00:00,,,,314.78,,,,
2014-12-30 00:00:00,,,,311.94,,,,
2014-12-31 00:00:00,,,,319.25,,,,
2015-01-01 00:00:00,,,,316.31,,,,
2015-01-02 00:00:00,,,,316.51,,,,
2015-01-03 00:00:00,,,,286.01,,,,
2015-01-04 00:00:00,,,,264.62,,,,
2015-01-05 00:00:00,,,,276.8,,,,
2015-01-06 00:00:00,,,,276.8,,,,
2015-01-07 00:00:00,,,,276.8,,,,
2015-01-08 00:00:00,,,,276.8,,,,
2015-01-09 00:00:00,,,,276.8,,,,
2015-01-10 00:00:00,,,,276.8,,,,
2015-01-11 00:00:00,,,,276.8,,,,
2015-01-12 00:00:00,,,,268.16,,,,
2015-01-13 00:00:00,,,,221.0,,,,
2015-01-14 00:00:00,,,,162.0,,,,
2015-01-15 00:00:00,,,,208.81,,,,
2015-01-16 00:00:00,,,,206.6,,,,
2015-01-17 00:00:00,,,,200.1,,,,
2015-01-18 00:00:00,,,,211.42,,,,
2015-01-19 00:00:00,,,,216.88,,,,
2015-01-20 00:00:00,,,,211.08,,,,
2015-01-21 00:00:00,,,,228.59,,,,
2015-01-22 00:00:00,,,,233.0,,,,
2015-01-23 00:00:00,,,,233.03,,,,
2015-01-24 00:00:00,,,,249.99,,,,
2015-01-25 00:00:00,,,,253.09,,,,
2015-01-26 00:00:00,,,,269.5,,,,
2015-01-27 00:00:00,,,,262.99,,,,
2015-01-28 00:00:00,,,,236.2,,,,
2015-01-29 00:00:00,,,,234.75,,,,
2015-01-30 00:00:00,,,,232.6,,,,
2015-01-31 00:00:00,,,,217.98,,,,
2015-02-01 00:00:00,,,,214.8,,,,
2015-02-02 00:00:00,,,,237.97,,,,
2015-02-03 00:00:00,,,,227.35,,,,
2015-02-04 00:00:00,,,,227.0,,,,
2015-02-05 00:00:00,,,,217.0,,,,
2015-02-06 00:00:00,,,,222.88,,,,
2015-02-07 00:00:00,,,,228.61,,,,
2015-02-08 00:00:00,,,,224.19,,,,
2015-02-09 00:00:00,,,,220.72,,,,
2015-02-10 00:00:00,,,,220.95,,,,
2015-02-11 00:00:00,,,,219.12,,,,
2015-02-12 00:00:00,,,,222.46,,,,
2015-02-13 00:00:00,,,,236.86,,,,
2015-02-14 00:00:00,,,,257.9,,,,
2015-02-15 00:00:00,,,,234.01,,,,
2015-02-16 00:00:00,,,,236.55,,,,
2015-02-17 00:00:00,,,,244.96,,,,
2015-02-18 00:00:00,,,,235.79,,,,
2015-02-19 00:00:00,,,,242.67,,,,
2015-02-20 00:00:00,,,,246.1,,,,
2015-02-21 00:00:00,,,,245.87,,,,
2015-02-22 00:00:00,,,,236.68,,,,
2015-02-23 00:00:00,,,,238.92,,,,
2015-02-24 00:00:00,,,,239.69,,,,
2015-02-25 00:00:00,,,,238.0,,,,
2015-02-26 00:00:00,,,,236.7,,,,
2015-02-27 00:00:00,,,,253.06,,,,
2015-02-28 00:00:00,,,,252.98,,,,
2015-03-01 00:00:00,,,,255.81,,,,
2015-03-02 00:00:00,,,,274.0,,,,
2015-03-03 00:00:00,,,,279.0,,,,
2015-03-04 00:00:00,,,,269.83,,,,
2015-03-05 00:00:00,,,,273.8,,,,
2015-03-06 00:00:00,,,,273.26,,,,
2015-03-07 00:00:00,,,,275.59,,,,
2015-03-08 00:00:00,,,,274.89,,,,
2015-03-09 00:00:00,,,,287.0,,,,
2015-03-10 00:00:00,,,,290.24,,,,
2015-03-11 00:00:00,,,,295.11,,,,
2015-03-12 00:00:00,,,,295.56,,,,
2015-03-13 00:00:00,,,,284.4,,,,
2015-03-14 00:00:00,,,,282.7,,,,
2015-03-15 00:00:00,,,,286.4,,,,
