date,ADAUSD,XRPUSD,SOLUSD,BTCUSD,LTCUSD,ETHUSD,DOTUSD,DOGEUSD
2014-11-28 00:00:00,,,,381.34,,,,
2014-11-29 00:00:00,,,,386.6,,,,
2014-11-30 00:00:00,,,,381.99,,,,
2014-12-01 00:00:00,,,,382.31,,,,
2014-12-02 00:00:00,,,,382.86,,,,
2014-12-03 00:00:00,,,,383.0,,,,
2014-12-04 00:00:00,,,,378.99,,,,
2014-12-05 00:00:00,,,,377.89,,,,
2014-12-06 00:00:00,,,,376.99,,,,
2014-12-07 00:00:00,,,,377.5,,,,
2014-12-08 00:00:00,,,,377.45,,,,
2014-12-09 00:00:00,,,,365.48,,,,
2014-12-10 00:00:00,,,,353.74,,,,
2014-12-11 00:00:00,,,,364.43,,,,
2014-12-12 00:00:00,,,,358.59,,,,
2014-12-13 00:00:00,,,,354.95,,,,
2014-12-14 00:00:00,,,,351.98,,,,
2014-12-15 00:00:00,,,,350.17,,,,
2014-12-16 00:00:00,,,,350.17,,,,
2014-12-17 00:00:00,,,,335.99,,,,
2014-12-18 00:00:00,,,,325.61,,,,
2014-12-19 00:00:00,,,,320.0,,,,
2014-12-20 00:00:00,,,,333.0,,,,
2014-12-21 00:00:00,,,,332.98,,,,
2014-12-22 00:00:00,,,,333.99,,,,
2014-12-23 00:00:00,,,,338.99,,,,
2014-12-24 00:00:00,,,,337.0,,,,
2014-12-25 00:00:00,,,,324.23,,,,
2014-12-26 00:00:00,,,,332.0,,,,
2014-12-27 00:00:00,,,,330.97,,,,
2014-12-28 00:00:00,,,,319.56,,,,
2014-12-29 00:00:00,,,,320.14,,,,
2014-12-30 00:00:00,,,,316.77,,,,
2014-12-31 00:00:00,,,,320.0,,,,
2015-01-01 00:00:00,,,,321.0,,,,
2015-01-02 00:00:00,,,,317.01,,,,
2015-01-03 00:00:00,,,,316.58,,,,
2015-01-04 00:00:00,,,,289.81,,,,
2015-01-05 00:00:00,,,,280.0,,,,
2015-01-06 00:00:00,,,,276.8,,,,
2015-01-07 00:00:00,,,,276.8,,,,
2015-01-08 00:00:00,,,,276.8,,,,
2015-01-09 00:00:00,,,,276.8,,,,
2015-01-10 00:00:00,,,,276.8,,,,
2015-01-11 00:00:00,,,,276.8,,,,
2015-01-12 00:00:00,,,,272.43,,,,
2015-01-13 00:00:00,,,,268.72,,,,
2015-01-14 00:00:00,,,,230.89,,,,
2015-01-15 00:00:00,,,,233.9,,,,
2015-01-16 00:00:00,,,,223.15,,,,
2015-01-17 00:00:00,,,,212.84,,,,
2015-01-18 00:00:00,,,,222.0,,,,
2015-01-19 00:00:00,,,,220.94,,,,
2015-01-20 00:00:00,,,,217.84,,,,
2015-01-21 00:00:00,,,,228.9,,,,
2015-01-22 00:00:00,,,,239.0,,,,
2015-01-23 00:00:00,,,,240.0,,,,
2015-01-24 00:00:00,,,,249.99,,,,
2015-01-25 00:00:00,,,,257.0,,,,
2015-01-26 00:00:00,,,,309.9,,,,
2015-01-27 00:00:00,,,,278.51,,,,
2015-01-28 00:00:00,,,,266.45,,,,
2015-01-29 00:00:00,,,,242.18,,,,
2015-01-30 00:00:00,,,,244.98,,,,
2015-01-31 00:00:00,,,,234.8,,,,
2015-02-01 00:00:00,,,,220.81,,,,
2015-02-02 00:00:00,,,,241.98,,,,
2015-02-03 00:00:00,,,,244.39,,,,
2015-02-04 00:00:00,,,,231.0,,,,
2015-02-05 00:00:00,,,,228.94,,,,
