unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1734566400,2024-12-19 00:00:00,DOGE/USD,0.35790,0.36063,0.35477,0.35984,155557.88,55975.9475392
1734480000,2024-12-18 00:00:00,DOGE/USD,0.39411,0.39597,0.34812,0.35787,14268013.24,5106093.8981988
1734393600,2024-12-17 00:00:00,DOGE/USD,0.40183,0.40990,0.39186,0.39409,5585482.83,2201182.9284747
1734307200,2024-12-16 00:00:00,DOGE/USD,0.40728,0.41458,0.39269,0.40190,11006779.40,4423624.64086
1734220800,2024-12-15 00:00:00,DOGE/USD,0.39813,0.41104,0.39271,0.40616,14937590.32,6067051.6843712
1734134400,2024-12-14 00:00:00,DOGE/USD,0.40822,0.41399,0.38772,0.39826,8656782.33,3447650.1307458
1734048000,2024-12-13 00:00:00,DOGE/USD,0.40585,0.41194,0.39968,0.40906,10782268.59,4410594.7894254
1733961600,2024-12-12 00:00:00,DOGE/USD,0.41351,0.42480,0.40125,0.40663,16031813.82,6519016.4536266
1733875200,2024-12-11 00:00:00,DOGE/USD,0.39456,0.41912,0.37547,0.41459,23119278.29,9585021.5862511
1733788800,2024-12-10 00:00:00,DOGE/USD,0.41334,0.42294,0.36566,0.39464,41971750.34,16563731.5541776
1733702400,2024-12-09 00:00:00,DOGE/USD,0.46698,0.46698,0.37801,0.41429,42859815.96,17756393.1540684
1733616000,2024-12-08 00:00:00,DOGE/USD,0.45327,0.48481,0.44651,0.46686,19753081.98,9221923.8531828
1733529600,2024-12-07 00:00:00,DOGE/USD,0.43514,0.46652,0.43182,0.45401,22867679.29,10382155.0744529
1733443200,2024-12-06 00:00:00,DOGE/USD,0.42633,0.44279,0.42048,0.43541,13451010.30,5856704.394723001
1733356800,2024-12-05 00:00:00,DOGE/USD,0.43272,0.46549,0.40839,0.42754,37261331.93,15930709.853352198
1733270400,2024-12-04 00:00:00,DOGE/USD,0.40891,0.43712,0.40014,0.43328,16607237.90,7195584.037312
1733184000,2024-12-03 00:00:00,DOGE/USD,0.42585,0.42921,0.38819,0.40700,29889529.62,12165038.55534
1733097600,2024-12-02 00:00:00,DOGE/USD,0.44090,0.46347,0.40086,0.42462,31374093.91,13322067.7560642
1733011200,2024-12-01 00:00:00,DOGE/USD,0.42164,0.44990,0.41674,0.44124,18445336.97,8138820.4846428
1732924800,2024-11-30 00:00:00,DOGE/USD,0.42657,0.43570,0.41390,0.42216,8446033.03,3565577.3039447996
1732838400,2024-11-29 00:00:00,DOGE/USD,0.40192,0.43798,0.39965,0.42623,9111350.25,3883530.8170575
1732752000,2024-11-28 00:00:00,DOGE/USD,0.40045,0.42917,0.39155,0.40200,5884589.71,2365605.06342
1732665600,2024-11-27 00:00:00,DOGE/USD,0.38694,0.40879,0.38106,0.40143,7149769.57,2870131.9984851
1732579200,2024-11-26 00:00:00,DOGE/USD,0.39229,0.40885,0.36500,0.38693,17628433.07,6820969.6077751005
1732492800,2024-11-25 00:00:00,DOGE/USD,0.43079,0.43721,0.38061,0.39361,26056574.93,10256128.4581973
1732406400,2024-11-24 00:00:00,DOGE/USD,0.43053,0.45414,0.39903,0.43100,16083229.26,6931871.81106
1732320000,2024-11-23 00:00:00,DOGE/USD,0.41327,0.48057,0.40527,0.43057,40376142.97,17384755.8785929
1732233600,2024-11-22 00:00:00,DOGE/USD,0.38709,0.42041,0.38132,0.41347,37557168.51,15528762.4638297
1732147200,2024-11-21 00:00:00,DOGE/USD,0.37766,0.39558,0.36867,0.38785,21414623.07,8305661.5576995
1732060800,2024-11-20 00:00:00,DOGE/USD,0.39124,0.39663,0.36481,0.37676,16226687.58,6113566.8126408
1731974400,2024-11-19 00:00:00,DOGE/USD,0.37016,0.42051,0.36681,0.39126,24519071.86,9593332.055943599
1731888000,2024-11-18 00:00:00,DOGE/USD,0.36519,0.38895,0.35772,0.37170,26305503.12,9777755.509704
1731801600,2024-11-17 00:00:00,DOGE/USD,0.36480,0.37535,0.34004,0.36703,12384319.74,4545416.8741722
1731715200,2024-11-16 00:00:00,DOGE/USD,0.38160,0.39131,0.36000,0.36382,18007527.00,6551498.473139999
1731628800,2024-11-15 00:00:00,DOGE/USD,0.36252,0.38512,0.35267,0.38149,33855250.31,12915439.440761901
1731542400,2024-11-14 00:00:00,DOGE/USD,0.40143,0.41629,0.35268,0.36215,37153022.02,13454966.924543003
1731456000,2024-11-13 00:00:00,DOGE/USD,0.38086,0.43458,0.35217,0.40066,40411961.65,16191456.554689
1731369600,2024-11-12 00:00:00,DOGE/USD,0.35209,0.44000,0.32801,0.38031,73015216.35,27768416.930068497
1731283200,2024-11-11 00:00:00,DOGE/USD,0.27686,0.35134,0.27400,0.35134,45592834.90,16018586.613766
1731196800,2024-11-10 00:00:00,DOGE/USD,0.21952,0.29811,0.21697,0.27714,46395070.13,12857929.7358282
1731110400,2024-11-09 00:00:00,DOGE/USD,0.20214,0.22023,0.19783,0.21948,10046359.72,2204975.0313456003
1731024000,2024-11-08 00:00:00,DOGE/USD,0.19558,0.20750,0.19090,0.20204,23553863.00,4758822.48052
1730937600,2024-11-07 00:00:00,DOGE/USD,0.19598,0.20390,0.18432,0.19336,7143548.37,1381276.5128232
1730851200,2024-11-06 00:00:00,DOGE/USD,0.17019,0.21900,0.16976,0.19688,44951851.36,8850120.4957568
1730764800,2024-11-05 00:00:00,DOGE/USD,0.15949,0.19800,0.15949,0.16980,44768616.87,7601711.144526
1730678400,2024-11-04 00:00:00,DOGE/USD,0.15038,0.16000,0.14862,0.15815,19105090.17,3021470.0103855007
1730592000,2024-11-03 00:00:00,DOGE/USD,0.15948,0.15978,0.14273,0.15191,6996871.88,1062894.8072908
1730505600,2024-11-02 00:00:00,DOGE/USD,0.15907,0.16353,0.15547,0.15936,4805172.45,765752.281632
