unix,date,symbol,open,high,low,close,Volume DOT,Volume USD
1734566400,2024-12-19 00:00:00,DOT/USD,7.675,7.675,7.675,7.675,73.57,564.6497499999999
1734480000,2024-12-18 00:00:00,DOT/USD,8.396,8.632,7.533,7.670,27862.67,213706.6789
1734393600,2024-12-17 00:00:00,DOT/USD,8.652,9.185,8.460,8.460,21372.84,180814.2264
1734307200,2024-12-16 00:00:00,DOT/USD,8.999,9.322,8.591,8.730,32742.65,285843.33450000006
1734220800,2024-12-15 00:00:00,DOT/USD,8.557,9.541,8.385,9.065,9253.69,83884.69985
1734134400,2024-12-14 00:00:00,DOT/USD,9.069,9.183,8.274,8.552,8654.86,74016.36272
1734048000,2024-12-13 00:00:00,DOT/USD,9.100,9.424,8.816,9.045,22262.38,201363.22710000002
1733961600,2024-12-12 00:00:00,DOT/USD,8.991,9.977,8.946,8.986,32133.66,288753.06876
1733875200,2024-12-11 00:00:00,DOT/USD,8.250,9.250,8.040,9.020,27204.57,245385.22139999998
1733788800,2024-12-10 00:00:00,DOT/USD,8.459,8.858,7.605,8.408,33905.70,285079.12559999997
1733702400,2024-12-09 00:00:00,DOT/USD,10.323,10.330,7.750,8.501,34944.74,297065.23474
1733616000,2024-12-08 00:00:00,DOT/USD,10.752,10.783,10.155,10.397,11189.10,116333.0727
1733529600,2024-12-07 00:00:00,DOT/USD,10.569,10.927,10.431,10.604,5816.75,61680.816999999995
1733443200,2024-12-06 00:00:00,DOT/USD,10.214,10.839,9.602,10.743,11351.44,121948.51992
1733356800,2024-12-05 00:00:00,DOT/USD,10.459,11.272,9.712,10.655,28300.45,301541.29475
1733270400,2024-12-04 00:00:00,DOT/USD,9.873,11.600,9.703,10.510,129391.42,1359903.8242
1733184000,2024-12-03 00:00:00,DOT/USD,10.043,10.486,8.978,9.873,80273.23,792537.5997899999
1733097600,2024-12-02 00:00:00,DOT/USD,9.186,10.129,8.458,10.129,41068.51,415982.93779
1733011200,2024-12-01 00:00:00,DOT/USD,9.114,9.837,8.723,9.237,34428.95,318020.21115
1732924800,2024-11-30 00:00:00,DOT/USD,8.813,9.128,8.557,8.966,16470.95,147678.5377
1732838400,2024-11-29 00:00:00,DOT/USD,8.651,9.058,8.471,9.058,11095.71,100504.94118
1732752000,2024-11-28 00:00:00,DOT/USD,8.402,8.739,8.000,8.637,16001.33,138203.48721000002
1732665600,2024-11-27 00:00:00,DOT/USD,8.137,8.667,7.904,8.453,14990.94,126718.41582
1732579200,2024-11-26 00:00:00,DOT/USD,8.336,8.455,7.486,8.053,26096.87,210158.09411
1732492800,2024-11-25 00:00:00,DOT/USD,8.733,9.300,8.225,8.364,9991.83,83571.66612000001
1732406400,2024-11-24 00:00:00,DOT/USD,8.650,10.500,8.000,8.828,50677.80,447383.6184
1732320000,2024-11-23 00:00:00,DOT/USD,6.684,9.412,6.684,8.507,89335.60,759977.9492
1732233600,2024-11-22 00:00:00,DOT/USD,5.945,6.626,5.906,6.574,18361.53,120708.69821999999
1732147200,2024-11-21 00:00:00,DOT/USD,5.713,5.988,5.430,5.945,27339.23,162531.72235
1732060800,2024-11-20 00:00:00,DOT/USD,5.835,6.078,5.564,5.716,61597.04,352088.68064000004
1731974400,2024-11-19 00:00:00,DOT/USD,5.973,6.087,5.669,5.669,14097.95,79921.27855
1731888000,2024-11-18 00:00:00,DOT/USD,5.402,6.100,5.402,6.099,25786.29,157270.58271000002
1731801600,2024-11-17 00:00:00,DOT/USD,5.890,6.100,5.334,5.413,13201.97,71462.26361
