unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1734566400,2024-12-19 00:00:00,DOGE/USD,0.35790,0.36063,0.35477,0.35984,155557.88,55975.9475392
1734562800,2024-12-18 23:00:00,DOGE/USD,0.35971,0.36298,0.35594,0.35787,684647.11,245014.66125570002
1734559200,2024-12-18 22:00:00,DOGE/USD,0.36028,0.36538,0.35736,0.35928,881355.23,316653.3070344
1734555600,2024-12-18 21:00:00,DOGE/USD,0.35897,0.36422,0.35609,0.36146,1745208.36,630823.0138056
1734552000,2024-12-18 20:00:00,DOGE/USD,0.37410,0.37609,0.34812,0.35883,3750516.85,1345797.9612854999
1734548400,2024-12-18 19:00:00,DOGE/USD,0.38940,0.39000,0.37407,0.37463,1237005.94,463419.5353022
1734544800,2024-12-18 18:00:00,DOGE/USD,0.38558,0.38943,0.38558,0.38940,189975.80,73976.57652
1734541200,2024-12-18 17:00:00,DOGE/USD,0.38375,0.38779,0.38155,0.38643,503108.08,194416.0553544
1734537600,2024-12-18 16:00:00,DOGE/USD,0.38417,0.38534,0.38173,0.38461,139557.44,53675.1869984
1734534000,2024-12-18 15:00:00,DOGE/USD,0.38199,0.38583,0.37982,0.38462,231602.70,89079.03047400001
1734530400,2024-12-18 14:00:00,DOGE/USD,0.38408,0.38671,0.38195,0.38198,716977.83,273871.1915034
1734526800,2024-12-18 13:00:00,DOGE/USD,0.38330,0.38611,0.38266,0.38384,286343.70,109910.165808
1734523200,2024-12-18 12:00:00,DOGE/USD,0.38958,0.39019,0.38390,0.38512,236683.88,91151.6958656
1734519600,2024-12-18 11:00:00,DOGE/USD,0.38794,0.38993,0.38788,0.38964,367346.96,143133.0694944
1734516000,2024-12-18 10:00:00,DOGE/USD,0.38669,0.38807,0.38573,0.38763,127318.88,49352.617454399995
1734512400,2024-12-18 09:00:00,DOGE/USD,0.38511,0.38762,0.38511,0.38676,126803.98,49042.707304799995
1734508800,2024-12-18 08:00:00,DOGE/USD,0.38404,0.38477,0.38251,0.38417,43503.85,16712.8740545
1734505200,2024-12-18 07:00:00,DOGE/USD,0.38246,0.38493,0.38246,0.38403,74783.76,28719.207352799996
1734501600,2024-12-18 06:00:00,DOGE/USD,0.38454,0.38559,0.37842,0.38307,200550.41,76824.8455587
1734498000,2024-12-18 05:00:00,DOGE/USD,0.38474,0.38779,0.38370,0.38370,228066.62,87509.162094
1734494400,2024-12-18 04:00:00,DOGE/USD,0.38833,0.38935,0.38063,0.38441,1434635.24,551488.1326084
1734490800,2024-12-18 03:00:00,DOGE/USD,0.39214,0.39222,0.38901,0.39034,130550.46,50959.06655640001
1734487200,2024-12-18 02:00:00,DOGE/USD,0.38852,0.39310,0.38852,0.39179,374422.01,146694.79929790003
1734483600,2024-12-18 01:00:00,DOGE/USD,0.39520,0.39571,0.38886,0.39014,333093.52,129953.1058928
1734480000,2024-12-18 00:00:00,DOGE/USD,0.39411,0.39597,0.38977,0.39349,223954.63,88123.9073587
1734476400,2024-12-17 23:00:00,DOGE/USD,0.39397,0.39517,0.39186,0.39409,326575.45,128700.1190905
1734472800,2024-12-17 22:00:00,DOGE/USD,0.39994,0.40013,0.39431,0.39507,207653.73,82037.7591111
1734469200,2024-12-17 21:00:00,DOGE/USD,0.39966,0.40068,0.39773,0.40039,252010.92,100902.65225880001
1734465600,2024-12-17 20:00:00,DOGE/USD,0.40040,0.40169,0.39883,0.39983,109133.94,43635.0232302
1734462000,2024-12-17 19:00:00,DOGE/USD,0.39738,0.40022,0.39738,0.39971,49237.94,19680.896997400003
1734458400,2024-12-17 18:00:00,DOGE/USD,0.40291,0.40374,0.39804,0.39852,201841.33,80437.8068316
1734454800,2024-12-17 17:00:00,DOGE/USD,0.40043,0.40302,0.40036,0.40296,63206.93,25469.8645128
1734451200,2024-12-17 16:00:00,DOGE/USD,0.39714,0.40322,0.39657,0.40106,79237.19,31778.867421400002
1734447600,2024-12-17 15:00:00,DOGE/USD,0.40621,0.40632,0.39610,0.39833,449485.67,179043.6269311
1734444000,2024-12-17 14:00:00,DOGE/USD,0.40908,0.40908,0.40196,0.40687,499788.36,203348.8900332
1734440400,2024-12-17 13:00:00,DOGE/USD,0.40596,0.40990,0.40423,0.40975,212922.66,87245.059935
1734436800,2024-12-17 12:00:00,DOGE/USD,0.40445,0.40645,0.40261,0.40597,246574.00,100101.64678
1734433200,2024-12-17 11:00:00,DOGE/USD,0.40474,0.40695,0.40364,0.40423,312624.26,126372.1046198
1734429600,2024-12-17 10:00:00,DOGE/USD,0.40251,0.40724,0.40248,0.40517,911998.43,369514.4038831
1734426000,2024-12-17 09:00:00,DOGE/USD,0.39937,0.40408,0.39929,0.40281,130335.05,52500.2614905
1734422400,2024-12-17 08:00:00,DOGE/USD,0.39793,0.40113,0.39793,0.40005,366284.32,146532.042216
1734418800,2024-12-17 07:00:00,DOGE/USD,0.39970,0.40084,0.39582,0.39755,201735.52,80199.955976
