unix,date,symbol,open,high,low,close,Volume DOT,Volume USD
1734566400,2024-12-19 00:00:00,DOT/USD,7.675,7.675,7.675,7.675,73.57,564.6497499999999
1734562800,2024-12-18 23:00:00,DOT/USD,7.676,7.794,7.559,7.670,2934.85,22510.299499999997
1734559200,2024-12-18 22:00:00,DOT/USD,7.883,7.913,7.814,7.814,2313.57,18078.23598
1734555600,2024-12-18 21:00:00,DOT/USD,7.766,8.004,7.750,8.004,1438.78,11515.99512
1734552000,2024-12-18 20:00:00,DOT/USD,8.099,8.099,7.533,7.533,4942.65,37232.982449999996
1734548400,2024-12-18 19:00:00,DOT/USD,8.457,8.457,8.204,8.207,4262.89,34985.538230000006
1734544800,2024-12-18 18:00:00,DOT/USD,8.372,8.372,8.359,8.359,41.83,349.65697
1734541200,2024-12-18 17:00:00,DOT/USD,8.171,8.171,8.171,8.171,0.00,0.0
1734537600,2024-12-18 16:00:00,DOT/USD,8.171,8.171,8.171,8.171,1.50,12.256499999999999
1734534000,2024-12-18 15:00:00,DOT/USD,8.213,8.213,8.213,8.213,52.79,433.56426999999996
1734530400,2024-12-18 14:00:00,DOT/USD,8.290,8.340,8.231,8.231,7218.88,59418.60128
1734526800,2024-12-18 13:00:00,DOT/USD,8.175,8.632,8.168,8.168,351.13,2868.0298399999997
1734523200,2024-12-18 12:00:00,DOT/USD,8.226,8.226,8.153,8.153,256.96,2094.9948799999997
1734519600,2024-12-18 11:00:00,DOT/USD,8.369,8.582,8.334,8.582,3028.63,25991.702660000003
1734516000,2024-12-18 10:00:00,DOT/USD,8.245,8.270,8.245,8.270,63.16,522.3331999999999
1734512400,2024-12-18 09:00:00,DOT/USD,8.225,8.225,8.225,8.225,536.34,4411.3965
1734508800,2024-12-18 08:00:00,DOT/USD,8.225,8.225,8.225,8.225,44.51,366.09475
1734505200,2024-12-18 07:00:00,DOT/USD,8.211,8.382,8.211,8.382,166.99,1399.71018
1734501600,2024-12-18 06:00:00,DOT/USD,8.264,8.264,8.264,8.264,0.00,0.0
1734498000,2024-12-18 05:00:00,DOT/USD,8.263,8.264,8.263,8.264,10.00,82.63999999999999
1734494400,2024-12-18 04:00:00,DOT/USD,8.250,8.250,8.250,8.250,25.00,206.25
1734490800,2024-12-18 03:00:00,DOT/USD,8.354,8.354,8.326,8.326,161.54,1344.98204
1734487200,2024-12-18 02:00:00,DOT/USD,8.396,8.396,8.396,8.396,0.00,0.0
1734483600,2024-12-18 01:00:00,DOT/USD,8.396,8.396,8.396,8.396,10.67,89.58532000000001
1734480000,2024-12-18 00:00:00,DOT/USD,8.460,8.460,8.460,8.460,0.00,0.0
1734476400,2024-12-17 23:00:00,DOT/USD,8.460,8.460,8.460,8.460,254.10,2149.686
1734472800,2024-12-17 22:00:00,DOT/USD,8.641,8.664,8.513,8.513,16904.62,143909.03006
1734469200,2024-12-17 21:00:00,DOT/USD,8.664,8.664,8.664,8.664,0.00,0.0
1734465600,2024-12-17 20:00:00,DOT/USD,8.696,8.696,8.664,8.664,262.96,2278.2854399999997
1734462000,2024-12-17 19:00:00,DOT/USD,8.557,8.672,8.557,8.672,49.79,431.77888
1734458400,2024-12-17 18:00:00,DOT/USD,8.804,8.807,8.680,8.680,273.30,2372.244
1734454800,2024-12-17 17:00:00,DOT/USD,8.673,8.816,8.672,8.816,132.30,1166.3568000000002
1734451200,2024-12-17 16:00:00,DOT/USD,8.568,8.705,8.568,8.675,417.90,3625.2825000000003
1734447600,2024-12-17 15:00:00,DOT/USD,8.584,8.584,8.584,8.584,48.97,420.35848
1734444000,2024-12-17 14:00:00,DOT/USD,8.735,8.735,8.735,8.735,47.51,414.99985
1734440400,2024-12-17 13:00:00,DOT/USD,8.805,8.892,8.805,8.860,241.43,2139.0697999999998
1734436800,2024-12-17 12:00:00,DOT/USD,8.928,8.928,8.928,8.928,2.00,17.856
1734433200,2024-12-17 11:00:00,DOT/USD,8.960,9.185,8.602,8.723,1276.76,11137.17748
1734429600,2024-12-17 10:00:00,DOT/USD,8.890,8.890,8.890,8.890,24.39,216.82710000000003
1734426000,2024-12-17 09:00:00,DOT/USD,8.700,8.700,8.700,8.700,0.00,0.0
1734422400,2024-12-17 08:00:00,DOT/USD,8.700,8.700,8.700,8.700,0.00,0.0
1734418800,2024-12-17 07:00:00,DOT/USD,8.692,8.700,8.692,8.700,527.31,4587.596999999999
1734415200,2024-12-17 06:00:00,DOT/USD,8.700,8.700,8.700,8.700,1.38,12.005999999999998
1734411600,2024-12-17 05:00:00,DOT/USD,8.700,8.700,8.698,8.699,95.88,834.06012
1734408000,2024-12-17 04:00:00,DOT/USD,8.723,8.723,8.668,8.668,35.72,309.62095999999997
1734404400,2024-12-17 03:00:00,DOT/USD,8.693,8.693,8.693,8.693,6.59,57.28686999999999
1734400800,2024-12-17 02:00:00,DOT/USD,8.693,8.693,8.693,8.693,0.00,0.0
1734397200,2024-12-17 01:00:00,DOT/USD,8.693,8.693,8.693,8.693,0.00,0.0
1734393600,2024-12-17 00:00:00,DOT/USD,8.652,8.739,8.652,8.693,769.93,6693.00149
1734390000,2024-12-16 23:00:00,DOT/USD,8.730,8.730,8.730,8.730,39.23,342.4779
1734386400,2024-12-16 22:00:00,DOT/USD,8.956,8.976,8.898,8.898,317.31,2823.42438
1734382800,2024-12-16 21:00:00,DOT/USD,8.935,9.178,8.924,8.949,1798.26,16092.62874
1734379200,2024-12-16 20:00:00,DOT/USD,8.900,8.900,8.900,8.900,14.60,129.94
1734375600,2024-12-16 19:00:00,DOT/USD,8.929,8.930,8.929,8.929,219.22,1957.4153800000001
1734372000,2024-12-16 18:00:00,DOT/USD,9.045,9.088,8.984,9.088,4111.26,37363.13088
1734368400,2024-12-16 17:00:00,DOT/USD,9.072,9.149,9.025,9.025,1503.31,13567.37275
1734364800,2024-12-16 16:00:00,DOT/USD,8.990,9.267,8.990,9.035,9991.37,90272.02795
1734361200,2024-12-16 15:00:00,DOT/USD,8.725,9.322,8.722,8.913,9637.99,85903.40487
1734357600,2024-12-16 14:00:00,DOT/USD,8.701,8.794,8.701,8.794,1048.28,9218.57432
1734354000,2024-12-16 13:00:00,DOT/USD,8.615,8.699,8.609,8.680,647.96,5624.2928
1734350400,2024-12-16 12:00:00,DOT/USD,8.624,8.670,8.591,8.591,665.24,5715.07684
1734346800,2024-12-16 11:00:00,DOT/USD,8.740,8.740,8.671,8.671,112.29,973.6665899999999
1734343200,2024-12-16 10:00:00,DOT/USD,8.710,8.741,8.710,8.741,50.18,438.62338
1734339600,2024-12-16 09:00:00,DOT/USD,8.782,8.782,8.715,8.715,778.42,6783.930299999999
1734336000,2024-12-16 08:00:00,DOT/USD,8.831,8.831,8.797,8.797,397.96,3500.85412
1734332400,2024-12-16 07:00:00,DOT/USD,8.822,8.822,8.822,8.822,26.82,236.60603999999998
